test_question,expected_primary_ids,actual_primary_ids,pass,notes
What does CSL mean?,csl,csl,PASS,
What does μ mean?,mu,mu,PASS,
What is mu?,mu,mu,PASS,
What is mean demand?,mu,mu,PASS,
What does σ mean?,sigma,sigma,PASS,
What is sigma_pool?,sigma_pool,sigma_pool,PASS,
Define pooled variance.,pooled_variance,pooled_variance,PASS,
What does ρᵢⱼ mean?,rho,rho,PASS,
What does rho mean?,rho,rho,PASS,
What does correlation mean?,rho,rho,PASS,
What does z mean?,z,z,PASS,
What is capital Z?,Z,Z,PASS,
What does T mean?,T,T,PASS,
What does L mean?,L,L,PASS,
What is T+L?,protection_period,protection_period,PASS,
What does H mean?,H,H,PASS,
What does h mean?,h,h,PASS,
What does S mean?,S,S,PASS,
What does SS mean?,ss,ss,PASS,
What does Q mean?,Q,Q,PASS,
What does D mean?,D,D,PASS,
What does C mean?,C,C,PASS,
What is Q*?,eoq,eoq,PASS,
What does λ_min mean?,psd,psd,PASS,
What is fill rate?,fr,fr,PASS,
What is OUL?,oul,oul,PASS,
What is ROP?,rop,rop,PASS,
What is PRS?,prs,prs,PASS,
What is CRS?,crp,crp,PASS,
What do the symbols in the case mean?,ALL,ALL,PASS,
What does average inventory mean?,average_inventory,average_inventory,PASS,
